Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(4.0799), tensor(4.4253), tensor(0.0171)) Time: 3.4145808855692548 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(2.4129), tensor(3.7284), tensor(0.0196)) Time: 3.436055282751719 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(2.0506), tensor(3.8420), tensor(0.0198)) Time: 3.4169195890426636 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.9984), tensor(4.2705), tensor(0.0200)) Time: 3.4156429807345075 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(2.0338), tensor(4.4268), tensor(0.0195)) Time: 3.414286502202352 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.9133), tensor(4.3397), tensor(0.0197)) Time: 3.4371482253074648 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.9311), tensor(4.5032), tensor(0.0195)) Time: 3.4340999046961467 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.8337), tensor(4.4477), tensor(0.0198)) Time: 3.438671139876048 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.8527), tensor(4.4469), tensor(0.0194)) Time: 3.4401174942652384 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.8663), tensor(4.3531), tensor(0.0195)) Time: 3.440317372481028 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.7750), tensor(4.5021), tensor(0.0196)) Time: 3.4293803373972573 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.0070.0 1.0 0.0 P loss: (tensor(1.7567), tensor(4.4939), tensor(0.0192)) Time: 3.44004031419754 minutes
