Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(5.9827), tensor(6.0783), tensor(0.0133)) Time: 3.3780227184295653 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(5.4943), tensor(5.4966), tensor(0.0134)) Time: 3.467666963736216 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(5.2300), tensor(5.2752), tensor(0.0136)) Time: 3.4847501158714294 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.9647), tensor(5.2017), tensor(0.0135)) Time: 3.482758382956187 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.9331), tensor(5.1447), tensor(0.0134)) Time: 3.468027369181315 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.8125), tensor(5.1234), tensor(0.0135)) Time: 3.4600589672724404 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6953), tensor(5.0714), tensor(0.0135)) Time: 3.4586702466011046 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7464), tensor(5.1229), tensor(0.0134)) Time: 3.439486078421275 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7081), tensor(5.1198), tensor(0.0134)) Time: 3.4411778608957926 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.8124), tensor(5.2474), tensor(0.0133)) Time: 3.4752027789751687 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6894), tensor(5.2145), tensor(0.0133)) Time: 3.480573471387227 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6480), tensor(5.3140), tensor(0.0132)) Time: 3.4764491518338523 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7265), tensor(5.2629), tensor(0.0132)) Time: 3.4448386311531065 minutes
Total Time: 7.21604600932863 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.8455), tensor(5.1470), tensor(0.0133)) Time: 3.3853827555974325 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6976), tensor(5.2030), tensor(0.0133)) Time: 3.499446177482605 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7032), tensor(5.0353), tensor(0.0133)) Time: 3.5154360850652058 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6673), tensor(5.0842), tensor(0.0131)) Time: 3.504016164938609 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6774), tensor(4.9572), tensor(0.0132)) Time: 3.4967606465021768 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7962), tensor(5.2384), tensor(0.0132)) Time: 3.497250759601593 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.7774), tensor(5.1127), tensor(0.0131)) Time: 3.5189883987108868 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6593), tensor(5.0437), tensor(0.0130)) Time: 3.504013129075368 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5888), tensor(4.9873), tensor(0.0131)) Time: 3.520429237683614 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6320), tensor(5.1176), tensor(0.0131)) Time: 3.514212457338969 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6896), tensor(5.0417), tensor(0.0131)) Time: 3.481833597024282 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.4955), tensor(4.9310), tensor(0.0130)) Time: 3.484357817967733 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5687), tensor(5.0335), tensor(0.0131)) Time: 3.4958771586418154 minutes
Total Time: 7.287582228316201 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6455), tensor(4.9246), tensor(0.0131)) Time: 3.5797204891840617 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5344), tensor(4.9887), tensor(0.0130)) Time: 3.534356335798899 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.4753), tensor(4.8932), tensor(0.0130)) Time: 3.549489426612854 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5134), tensor(5.0409), tensor(0.0131)) Time: 3.5404097636540732 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6092), tensor(5.1386), tensor(0.0130)) Time: 3.5326714952786764 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.4525), tensor(4.9615), tensor(0.0129)) Time: 3.5202836473782857 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5582), tensor(5.0194), tensor(0.0129)) Time: 3.531309155623118 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5100), tensor(4.9677), tensor(0.0129)) Time: 3.4760141531626383 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5138), tensor(4.9805), tensor(0.0129)) Time: 3.5464444518089295 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5163), tensor(5.0266), tensor(0.0128)) Time: 3.5188254912694297 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5622), tensor(5.0252), tensor(0.0128)) Time: 3.5102115909258527 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.6028), tensor(5.0528), tensor(0.0128)) Time: 3.533138656616211 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.0012 1.0 0.0 P loss: (tensor(4.5277), tensor(5.1182), tensor(0.0127)) Time: 3.5288472334543863 minutes
Total Time: 7.349135778082742 hours 
