Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(4.5362), tensor(4.8692), tensor(0.0154)) Time: 3.4292487780253094 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(3.1527), tensor(3.9250), tensor(0.0168)) Time: 3.538280216852824 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.5635), tensor(3.9793), tensor(0.0174)) Time: 3.5300743222236632 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.5082), tensor(4.3823), tensor(0.0173)) Time: 3.52931547164917 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.4977), tensor(4.7426), tensor(0.0175)) Time: 3.528504157066345 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.3795), tensor(4.5927), tensor(0.0175)) Time: 3.523523922761281 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.3006), tensor(4.7330), tensor(0.0175)) Time: 3.527809158960978 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.3739), tensor(4.9247), tensor(0.0173)) Time: 3.513042418162028 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.2028), tensor(5.0161), tensor(0.0176)) Time: 3.5153709928194683 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.2138), tensor(5.0727), tensor(0.0175)) Time: 3.5177210489908854 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.2622), tensor(5.0832), tensor(0.0176)) Time: 3.5120778520902 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1436), tensor(5.0573), tensor(0.0177)) Time: 3.5067325909932454 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1307), tensor(4.9337), tensor(0.0175)) Time: 3.511567227045695 minutes
Total Time: 7.320697594417466 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1937), tensor(5.1469), tensor(0.0174)) Time: 3.3678837537765505 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1313), tensor(4.9973), tensor(0.0173)) Time: 3.5128115812937417 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(1.9882), tensor(5.0001), tensor(0.0174)) Time: 3.494784677028656 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.0577), tensor(5.0859), tensor(0.0172)) Time: 3.519347818692525 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.0974), tensor(5.0814), tensor(0.0173)) Time: 3.5174670139948527 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1231), tensor(5.0635), tensor(0.0172)) Time: 3.5180832544962564 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.0500), tensor(5.1246), tensor(0.0172)) Time: 3.522008391221364 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00350.0 1.0 0.0 P loss: (tensor(2.1108), tensor(5.0713), tensor(0.0170)) Time: 3.5178406596183778 minutes
