Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(5.6951), tensor(5.7440), tensor(0.0135)) Time: 3.309188012282054 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(5.0770), tensor(5.0789), tensor(0.0139)) Time: 3.403708779811859 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.8635), tensor(5.0348), tensor(0.0139)) Time: 3.392002260684967 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.5508), tensor(4.9207), tensor(0.0140)) Time: 3.368004294236501 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.5409), tensor(4.9415), tensor(0.0141)) Time: 3.367104955514272 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.4975), tensor(4.8413), tensor(0.0140)) Time: 3.4021790385246278 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.4770), tensor(4.7272), tensor(0.0139)) Time: 3.398497418562571 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3278), tensor(4.7421), tensor(0.0139)) Time: 3.3842161615689594 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.4153), tensor(4.7749), tensor(0.0139)) Time: 3.3854082584381104 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.4590), tensor(5.0175), tensor(0.0138)) Time: 3.3741895238558453 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.5619), tensor(4.8450), tensor(0.0138)) Time: 3.3759676376978556 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.4084), tensor(4.9858), tensor(0.0138)) Time: 3.3762298981348673 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3171), tensor(4.9365), tensor(0.0137)) Time: 3.374676271279653 minutes
Total Time: 7.045740554465188 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3281), tensor(4.8384), tensor(0.0139)) Time: 3.355838751792908 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2801), tensor(4.8359), tensor(0.0137)) Time: 3.4967737634976706 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3155), tensor(4.7755), tensor(0.0137)) Time: 3.500062338511149 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2809), tensor(4.9005), tensor(0.0136)) Time: 3.47990319331487 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2554), tensor(4.7969), tensor(0.0136)) Time: 3.4770142833391824 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3382), tensor(4.9370), tensor(0.0136)) Time: 3.4731624603271483 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2608), tensor(4.7482), tensor(0.0137)) Time: 3.495422581831614 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3010), tensor(4.7953), tensor(0.0136)) Time: 3.477287030220032 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3537), tensor(4.8941), tensor(0.0135)) Time: 3.4874788602193196 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2162), tensor(4.7900), tensor(0.0135)) Time: 3.4858182430267335 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.1369), tensor(4.6676), tensor(0.0136)) Time: 3.4728105346361797 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2267), tensor(4.6798), tensor(0.0135)) Time: 3.4747730255126954 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.1751), tensor(4.7819), tensor(0.0135)) Time: 3.4831374724706015 minutes
Total Time: 7.2420446460114585 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.3576), tensor(4.8027), tensor(0.0136)) Time: 3.4820629278818767 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.0015 1.0 0.0 P loss: (tensor(4.2247), tensor(4.6895), tensor(0.0134)) Time: 3.6288753310839335 minutes
