Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(6.1558), tensor(6.2147), tensor(0.0130)) Time: 3.5932089567184446 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.9065), tensor(6.2893), tensor(0.0130)) Time: 3.5090237498283385 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.7518), tensor(6.0334), tensor(0.0129)) Time: 3.505179786682129 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.7065), tensor(5.8453), tensor(0.0129)) Time: 3.506868028640747 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.5777), tensor(6.0653), tensor(0.0129)) Time: 3.5117953697840374 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.4840), tensor(5.9678), tensor(0.0128)) Time: 3.4994669795036315 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.4770), tensor(5.9767), tensor(0.0128)) Time: 3.4991429408391315 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.3175), tensor(6.0223), tensor(0.0129)) Time: 3.5017091552416484 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.4108), tensor(5.9394), tensor(0.0127)) Time: 3.5013726035753887 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.3270), tensor(6.1101), tensor(0.0127)) Time: 3.495324210325877 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.2889), tensor(6.0729), tensor(0.0126)) Time: 3.499311852455139 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.4028), tensor(5.9322), tensor(0.0126)) Time: 3.494848108291626 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1754), tensor(6.0868), tensor(0.0126)) Time: 3.4946897983551026 minutes
Total Time: 7.287108130719926 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.3025), tensor(5.8892), tensor(0.0128)) Time: 3.311095603307088 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.2593), tensor(6.2279), tensor(0.0126)) Time: 3.3940407633781433 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.4374), tensor(6.2456), tensor(0.0126)) Time: 3.4038188060124717 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1971), tensor(5.9767), tensor(0.0126)) Time: 3.4050001899401345 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1719), tensor(6.0285), tensor(0.0125)) Time: 3.403413387139638 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1298), tensor(6.1086), tensor(0.0125)) Time: 3.4059306462605794 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.2291), tensor(6.0085), tensor(0.0125)) Time: 3.4045668204625446 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1601), tensor(6.0174), tensor(0.0125)) Time: 3.4038254698117574 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0844), tensor(5.9272), tensor(0.0125)) Time: 3.4036054015159607 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0916), tensor(6.1132), tensor(0.0124)) Time: 3.4034507910410565 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.9897), tensor(6.0501), tensor(0.0124)) Time: 3.403949471314748 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0491), tensor(6.2249), tensor(0.0123)) Time: 3.404062839349111 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0566), tensor(6.2065), tensor(0.0124)) Time: 3.376437544822693 minutes
Total Time: 7.086232180727853 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0534), tensor(6.0360), tensor(0.0125)) Time: 3.3163028875986735 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0085), tensor(6.0036), tensor(0.0124)) Time: 3.440012987454732 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.1181), tensor(6.1573), tensor(0.0123)) Time: 3.4399600704511006 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.8616), tensor(6.0457), tensor(0.0123)) Time: 3.4375160376230878 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0702), tensor(6.2956), tensor(0.0123)) Time: 3.4362382570902508 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.9846), tensor(6.1022), tensor(0.0123)) Time: 3.428765094280243 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.8479), tensor(5.9682), tensor(0.0123)) Time: 3.4300111293792725 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0108), tensor(6.1692), tensor(0.0124)) Time: 3.4374420483907064 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(5.0942), tensor(6.2199), tensor(0.0122)) Time: 3.440575730800629 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.9878), tensor(6.1693), tensor(0.0122)) Time: 3.444131310780843 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.8947), tensor(6.0630), tensor(0.0121)) Time: 3.437086073557536 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.9060), tensor(6.0510), tensor(0.0122)) Time: 3.4352330048878987 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00070.0 1.0 0.0 P loss: (tensor(4.8392), tensor(5.9514), tensor(0.0122)) Time: 3.432624427477519 minutes
Total Time: 7.150913060771094 hours 
