Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.0128), tensor(0.0122), tensor(1.2049)) Time: 4.022591932614644 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.3253), tensor(0.0126), tensor(1.1008)) Time: 4.126884909470876 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.3333), tensor(0.0126), tensor(1.0891)) Time: 4.124318448702494 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.5112), tensor(0.0125), tensor(1.0841)) Time: 4.126005784670512 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.5558), tensor(0.0124), tensor(1.0507)) Time: 4.122653897603353 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.6910), tensor(0.0126), tensor(1.0475)) Time: 4.1138674974441525 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8890), tensor(0.0128), tensor(1.0071)) Time: 4.100619351863861 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8085), tensor(0.0127), tensor(1.0646)) Time: 4.0899135112762455 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9536), tensor(0.0126), tensor(1.0445)) Time: 4.093139751752218 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8669), tensor(0.0125), tensor(1.0459)) Time: 4.093452254931132 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0813), tensor(0.0126), tensor(1.0132)) Time: 4.100596741835276 minutes
Total Time: 7.122044213612875 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8998), tensor(0.0127), tensor(1.0211)) Time: 3.862873915831248 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9561), tensor(0.0126), tensor(1.0308)) Time: 3.9345415870348615 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9746), tensor(0.0126), tensor(1.0189)) Time: 3.926856291294098 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9226), tensor(0.0126), tensor(0.9752)) Time: 3.929189630349477 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9696), tensor(0.0126), tensor(0.9553)) Time: 3.9327664097150166 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9626), tensor(0.0127), tensor(0.9472)) Time: 3.9268634994824727 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8773), tensor(0.0126), tensor(0.9364)) Time: 3.932324520746867 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8675), tensor(0.0128), tensor(0.8888)) Time: 3.9300430337587993 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9475), tensor(0.0126), tensor(0.9184)) Time: 3.9253193934758506 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9992), tensor(0.0127), tensor(0.9289)) Time: 3.910571829477946 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0296), tensor(0.0127), tensor(0.9095)) Time: 3.9200041333834332 minutes
Total Time: 6.791228379673428 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8560), tensor(0.0126), tensor(0.9476)) Time: 4.032423973083496 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8892), tensor(0.0126), tensor(0.9248)) Time: 4.11497049331665 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9278), tensor(0.0125), tensor(0.9187)) Time: 4.123526215553284 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9834), tensor(0.0126), tensor(0.9089)) Time: 4.122541574637095 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9842), tensor(0.0127), tensor(0.8726)) Time: 4.119873134295146 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8368), tensor(0.0125), tensor(0.8729)) Time: 4.117058074474334 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9537), tensor(0.0126), tensor(0.8681)) Time: 4.119389990965526 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7697), tensor(0.0126), tensor(0.8772)) Time: 4.120195337136587 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9556), tensor(0.0125), tensor(0.8563)) Time: 4.123395888010661 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0324), tensor(0.0126), tensor(0.8625)) Time: 4.12299819389979 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9445), tensor(0.0125), tensor(0.8618)) Time: 4.1336843808492025 minutes
Total Time: 7.131178612311681 hours 
