Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.2288), tensor(0.0194), tensor(2.0209)) Time: 4.049066774050394 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.6252), tensor(0.0201), tensor(1.3791)) Time: 4.195314125219981 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.0864), tensor(0.0199), tensor(1.3407)) Time: 4.208717405796051 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.0395), tensor(0.0198), tensor(1.3203)) Time: 4.2086293737093605 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.2721), tensor(0.0199), tensor(1.3130)) Time: 4.189294870694479 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.6143), tensor(0.0202), tensor(1.2945)) Time: 4.188839014371236 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.4681), tensor(0.0202), tensor(1.2395)) Time: 4.208154400189717 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.5533), tensor(0.0201), tensor(1.1594)) Time: 4.193705940246582 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7499), tensor(0.0204), tensor(1.0867)) Time: 4.188903566201528 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8372), tensor(0.0202), tensor(1.1338)) Time: 4.1888628284136455 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7862), tensor(0.0200), tensor(1.0957)) Time: 4.252712837855021 minutes
Total Time: 7.26407883061303 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7626), tensor(0.0204), tensor(1.1062)) Time: 4.0054125944773356 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9498), tensor(0.0202), tensor(1.0898)) Time: 4.130376426378886 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8298), tensor(0.0201), tensor(1.1211)) Time: 4.133313155174255 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8891), tensor(0.0201), tensor(1.1204)) Time: 4.1315856377283735 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8538), tensor(0.0206), tensor(1.0480)) Time: 4.122614419460296 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0039), tensor(0.0205), tensor(1.0343)) Time: 4.12377835114797 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0610), tensor(0.0207), tensor(1.0157)) Time: 4.135448304812114 minutes
