Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9014), tensor(0.0138), tensor(1.1717)) Time: 3.830019060770671 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.3625), tensor(0.0145), tensor(1.0501)) Time: 3.9907284299532573 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.3660), tensor(0.0145), tensor(1.0565)) Time: 3.9878499348958334 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.6257), tensor(0.0144), tensor(1.0220)) Time: 3.999751094977061 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7126), tensor(0.0143), tensor(1.0538)) Time: 3.9753663023312886 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7962), tensor(0.0144), tensor(0.9967)) Time: 3.994253667195638 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7916), tensor(0.0143), tensor(0.9665)) Time: 3.9952826857566834 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8978), tensor(0.0140), tensor(0.9685)) Time: 3.9995242158571878 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8594), tensor(0.0142), tensor(0.9695)) Time: 3.9998983184496564 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9641), tensor(0.0143), tensor(0.9996)) Time: 4.000110244750976 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.040.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9102), tensor(0.0143), tensor(0.9301)) Time: 3.9990002075831095 minutes
