Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9920), tensor(0.0083), tensor(2.4136)) Time: 3.99005126953125 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9463), tensor(0.0084), tensor(2.3985)) Time: 4.153959167003632 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9205), tensor(0.0084), tensor(2.3805)) Time: 4.111543317635854 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8649), tensor(0.0084), tensor(2.4206)) Time: 4.134421042601267 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8665), tensor(0.0086), tensor(2.4647)) Time: 4.128191169102987 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8949), tensor(0.0085), tensor(2.5494)) Time: 4.127517851193746 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9132), tensor(0.0085), tensor(2.5574)) Time: 4.131117681662242 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9767), tensor(0.0085), tensor(2.5290)) Time: 4.131018726030986 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.9335), tensor(0.0085), tensor(2.5842)) Time: 4.125563557942709 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8926), tensor(0.0086), tensor(2.4949)) Time: 4.122856136163076 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8641), tensor(0.0086), tensor(2.6090)) Time: 4.115954407056173 minutes
Total Time: 7.1439168044593595 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.7679), tensor(0.0086), tensor(2.5703)) Time: 3.8835458119710284 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8967), tensor(0.0087), tensor(2.6208)) Time: 4.007578607400259 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.7824), tensor(0.0087), tensor(2.6493)) Time: 4.002424522240957 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8763), tensor(0.0086), tensor(2.6158)) Time: 4.001050059000651 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8687), tensor(0.0086), tensor(2.6324)) Time: 4.0121055523554485 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8146), tensor(0.0086), tensor(2.6046)) Time: 4.022342439492544 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8731), tensor(0.0086), tensor(2.6596)) Time: 4.001395042737325 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8064), tensor(0.0085), tensor(2.6856)) Time: 4.000265316168467 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8221), tensor(0.0088), tensor(2.7017)) Time: 4.0267826596895855 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8092), tensor(0.0086), tensor(2.6775)) Time: 4.002049851417541 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.002 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(4.8264), tensor(0.0086), tensor(2.6432)) Time: 4.007262460390726 minutes
Total Time: 6.9337154279814825 hours 
