Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(5.4750), tensor(5.9013), tensor(0.0135)) Time: 3.304162871837616 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.8174), tensor(5.2939), tensor(0.0138)) Time: 3.4058313369750977 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.6111), tensor(5.0094), tensor(0.0141)) Time: 3.4045417507489524 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.4064), tensor(5.0814), tensor(0.0141)) Time: 3.409083843231201 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.1566), tensor(5.1154), tensor(0.0141)) Time: 3.4126267870267233 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.0860), tensor(5.0388), tensor(0.0141)) Time: 3.4035995165507 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.9744), tensor(5.1029), tensor(0.0142)) Time: 3.407119615872701 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.1065), tensor(5.4266), tensor(0.0141)) Time: 3.4095096071561177 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.0136), tensor(5.4881), tensor(0.0141)) Time: 3.4103906234105428 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.0445), tensor(5.6035), tensor(0.0140)) Time: 3.4100111365318297 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.9581), tensor(5.5609), tensor(0.0139)) Time: 3.4112545013427735 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.9146), tensor(5.6319), tensor(0.0140)) Time: 3.4100714127222695 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.9346), tensor(5.6224), tensor(0.0140)) Time: 3.388553595542908 minutes
Total Time: 7.088327799836795 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(4.0702), tensor(5.7091), tensor(0.0140)) Time: 3.3071130832036335 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.8550), tensor(5.5208), tensor(0.0140)) Time: 3.4149153510729473 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.8656), tensor(5.4539), tensor(0.0139)) Time: 3.4049816528956094 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00150.0 1.0 0.0 P loss: (tensor(3.7767), tensor(5.6003), tensor(0.0139)) Time: 3.419137732187907 minutes
