Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.3810), tensor(0.0090), tensor(2.8248)) Time: 3.9637277324994407 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.5826), tensor(0.0092), tensor(2.3708)) Time: 4.096131134033203 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.7332), tensor(0.0094), tensor(2.4031)) Time: 4.0882723490397135 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.8459), tensor(0.0092), tensor(2.6580)) Time: 4.082291332880656 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9453), tensor(0.0092), tensor(2.6114)) Time: 4.093222864468893 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0112), tensor(0.0092), tensor(2.5551)) Time: 4.093489789962769 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9715), tensor(0.0092), tensor(2.6636)) Time: 4.092145510514578 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.0315), tensor(0.0091), tensor(2.6133)) Time: 4.092191723982493 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(5.9513), tensor(0.0093), tensor(2.4995)) Time: 4.092959296703339 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.2036), tensor(0.0092), tensor(2.6024)) Time: 4.09268761475881 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.0010.0 1.0 0.0 P loss:(JOINT,MSE,NEW) (tensor(6.2017), tensor(0.0092), tensor(2.5565)) Time: 4.093940190474192 minutes
Total Time: 7.0745212579435774 hours 
